genes,logFC,logCPM,PValue
ISG15,-0.185878806575444,10.3647073200044,6.34674459327818E-06
RERE,-0.5061469134018,10.8874698508754,7.79832129378037E-44
PDPN,-0.198330385167037,10.6457483129598,0.000145380525869193
PLA2G2A,0.160078777447391,10.2181054094078,7.02413323213001E-13
ID3,-0.235827115286095,11.5234545115064,2.47232732117131E-12
RPL11,0.0575385789726329,13.5018796221354,2.15728498783828E-07
NCMAP,0.0052326988258489,10.2128351816022,0.925792657953949
CD52,-0.015443619613052,10.2126361438176,0.000590547687986609
IFI6,-0.332970665247763,10.3930311391393,1.77678647930929E-16
MATN1,-0.0545745989644967,10.2199662344687,0.0380819590255423
LCK,0.0585961477198663,10.2197609036988,0.177070148764814
GJA4,0.321854158377892,10.2907441826897,3.32081925722867E-12
SCMH1,-0.117906984049287,10.3989001781156,0.0214734571299185
RPS8,0.0642645162289427,13.9545797074207,1.23089748001572E-11
PIK3R3,-0.185591442376655,10.4562061817282,4.30425846726342E-07
AGBL4,-0.546836048562303,10.5017362552689,2.92116077662509E-27
CYB5RL,-0.504571941039852,10.3636373608178,1.66157082976933E-11
JUN,-0.252657820527284,11.8745886777645,6.92114025709898E-22
SGIP1,-0.482471729222733,10.5523031445137,3.41173866712603E-24
NEGR1,0.11939493255154,10.2208229743204,0.000101507816045372
ST6GALNAC3,-0.19315576829669,11.4061259689444,6.20972679473172E-11
ADGRL4,0.0303726720911794,10.2837321406953,0.239965169323985
CCN1,0.0683080542513939,10.5427586060439,0.0134391491149845
PALMD,-0.125473966232887,10.4213121645922,0.000283455564434903
VAV3,-0.573259935057152,10.7216153292064,2.10796203568346E-53
WNT2B,0.163848758350618,10.4027073056329,7.73512814998696E-07
TXNIP,0.0819861783370117,11.7522175468123,0.0448693667355675
HJV,0.025701139537664,10.2128771130559,0.0164327890099637
S100A10,0.00807404008970654,13.8172824960557,0.529562445106687
S100A11,0.511235491743413,11.1167628221784,7.19086680609392E-104
S100A6,0.431677068374239,13.420112107288,5.35255765489349E-186
S100A4,0.0261003836210432,11.1895907546358,0.850719050880323
RPS27,0.0964428563108302,13.8996909946687,1.34458331431976E-22
LMNA,-0.647645968775603,11.3167796077233,1.43265898310272E-166
SEMA4A,-0.233244912350016,10.373786206436,0.000115186829301384
ACKR1,0.000867359823464947,10.2158394567454,0.567570507104289
ADAMTS4,0.00641122801354228,10.3972115527653,0.521650523510097
FCER1G,-0.00353668929848568,10.2120799728021,0.924160223485431
HSPA6,-0.0470772046639477,10.3723245523694,0.570105721536283
ATF6,-0.120244452977275,10.8570350526487,0.053284494162664
RGS5,0.107527903242234,10.2411170097281,0.00636846325504618
DPT,0.0121334462439023,10.2133841022423,0.466399219920231
SELE,0.045457559666437,10.218461237636,0.0117711297140963
PRRX1,0.0774388088671365,10.215189289022,2.23141906380822E-05
RASAL2,-0.02743639939596,10.754890677679,0.942470045528017
TEX35,-0.0640234238576755,10.2152206530988,0.00121902448038221
CACNA1E,-0.158215146537303,10.2640954326135,0.00330019124404801
RNASEL,-0.0804816447453395,10.2171668783283,3.72223063136903E-05
RGS16,-0.479397605186826,11.0414038838279,6.44318475259091E-40
LAMC1,-0.147142578662614,10.763628572751,0.00294957629289427
LAMC2,0.354439912198526,10.2609188075859,2.81255263263563E-17
HMCN1,-0.776377992791066,10.6215570336198,9.22222745611616E-86
PTGS2,0.480401281061307,10.3147134634677,8.43166523816931E-13
RGS1,-0.00319724028578264,10.2114727899145,0.632092647621287
RGS2,-0.335897293006071,10.2641326097505,8.0795872346422E-16
KCNT2,-0.432935658190465,10.2768368258827,1.65564745121983E-18
SLC41A1,-0.412646278312664,10.4625177046709,6.59410250856318E-18
G0S2,0.00727405956148792,10.2130224341668,0.987591501729283
ATF3,-0.104605202163056,11.0123499930322,0.0105485270487162
PROX1,-0.570560443534356,11.2011692564797,2.31056761615467E-86
CENPF,0.00629854215989491,10.2276570862203,0.878858857270375
TGFB2,-0.0224539563925237,10.4289572391419,0.70731168808638
ERO1B,-0.282336906509333,10.4771857300278,4.52098524600991E-07
ACTN2,0.0261174626395248,10.2177099898898,0.631046018684607
RYR2,-0.607969879821596,10.2531709755009,6.16774292782061E-47
ALKAL2,0.0377854304411377,10.2142614560917,0.00435605890292083
SNTG2,-0.118779427752354,10.9228661970665,0.00671721388650757
RPS7,0.113362817010902,12.9098845579176,2.9823789206505E-26
ID2,-0.61331039937829,10.6371308302261,2.16312528059978E-56
RRM2,-0.0541928468798418,10.2164570907732,0.00287775431093735
ODC1,-0.652511435082655,10.6280922029948,5.0578301644768E-80
KLHL29,-0.180107457939179,10.442019117716,0.00517236105229974
ZFP36L2,0.0685815416490542,11.1038552130733,0.272294440262007
PRKCE,-0.161691249920013,10.6000532950375,0.00924391606316246
STPG4,-0.263207410700456,10.2605824048447,1.88969160661359E-08
FBXO11,-0.370186859034525,10.8448223541112,3.69267620797301E-20
RPS27A,0.00189611862951813,13.6454004619468,0.533256816461163
EFEMP1,0.420994851328935,11.2965796631737,1.11743544572759E-69
PELI1,-0.218115741386331,10.6728696271086,4.86653032970489E-09
TMSB10,0.15518927624401,13.999291148629,1.12749723265591E-47
IGKC,-0.00368105680124685,10.2128623464415,0.520506043128787
DUSP2,-0.270401647387785,10.2926309226844,1.16407672654663E-07
CXCR4,0.0155602361852128,10.2119900349527,0.00391238968610676
ZEB2,0.037155255103109,10.2152434988947,0.0629032863501655
RND3,-0.297711439635255,10.2585923064523,1.37116588719428E-12
TNFAIP6,0.00749257649137978,10.2136700820054,0.457955244201755
FMNL2,-0.0869265667604043,10.5781397657092,0.100863367476988
GALNT13,-0.914991669699354,10.3515069755745,1.20166153834214E-64
PJVK,-0.00178680949914914,10.2238925510519,1
TTN,-0.670192180144987,10.611448649488,1.93348638663413E-46
CCDC141,-0.617875445649273,10.4517062289141,3.81415071629629E-43
PDE1A,-0.487064194004602,11.0741921386999,6.65614543156017E-63
ITGAV,-0.0593472885518846,10.6525926802197,0.306233877487261
CALCRL,-0.581468109813092,11.1911711572361,1.1125237839125E-92
TFPI,-0.180381114376978,12.8929089108576,5.61908439705629E-32
COL3A1,-0.00497132870958941,10.2184991375537,0.924157661793944
GLS,-0.416982768591227,10.8147839250516,7.51438013576792E-29
STAT4,-0.00349652840110365,10.2144501903896,0.875835069885774
CAVIN2,0.1592374931594,11.7596001842923,3.03317184583711E-12
HECW2,-0.412962543374879,10.5927661729575,1.60771426347097E-21
BMPR2,0.0263904404491528,10.6639006792968,0.0146687038905318
PARD3B,-0.114408354122208,10.6211556724688,0.0303435638169279
FN1,-0.476684819526253,10.8686490778656,7.63525167207826E-37
RPL37A,-0.0369145307873056,13.1254993805719,0.00329385451029049
IGFBP2,-0.0390569954726853,10.2218320157279,0.147067000688009
IGFBP5,1.19311617165822,11.0340188657638,3.9308693983508E-93
DOCK10,-0.0736005996214512,10.2192600963986,0.000163711744148006
PTMA,-0.217864097643202,13.3395213540838,5.57015277156031E-62
NPPC,-0.111064268146704,10.2609827407649,0.0354587798969035
ACKR3,1.46332393601431,10.8220589138124,0
COL6A3,0.0692170188512364,10.2190651829812,0.00173651831662316
CNTN4,-0.297346989064506,10.257274317761,9.26020660698746E-11
RPL32,0.0922709990250151,13.8290180720281,5.34110538445735E-20
ZNF385D,-0.475800344466901,10.4845651339849,1.66386139060786E-20
SLC4A7,-0.273313777706125,10.4198843510176,1.77904007370237E-06
RBMS3,-0.300608355850327,10.8489932709234,7.90913796354426E-19
ITGA9,-0.407373441734637,10.7603076813848,4.0252548920546E-34
CLEC3B,0.309766936712539,10.3409036961929,3.00127428736318E-07
RPL29,0.190610799584247,12.8374448035593,3.96919989201673E-64
ITIH3,-0.0757904538043121,10.2189904295568,0.000217007114586395
DNASE1L3,0.0977803705204298,10.3671490439675,0.0736924986116011
FHIT,-0.11592453944741,10.4056167375461,0.112893685132468
PTPRG,-0.00668696942557202,10.3625651410485,0.862103013177829
ADAMTS9,0.078529520693648,11.0262838089604,0.0322053773822571
MAGI1,-0.385180042410814,11.3662799383053,2.41915055098502E-30
ROBO2,0.125775713136447,10.2251187857185,3.25136871286931E-05
GBE1,-0.129265095128558,10.5462055706567,0.0532464424354936
CADM2,0.0346022950087988,10.2189069725727,0.0975027227430408
HTR1F,0.0162354356292195,10.212973851169,0.0500309535608701
FILIP1L,-0.241762548635557,10.7099398795554,1.00505125933716E-09
ALCAM,-0.100028929940258,10.400813697296,0.110893100846276
CBLB,-0.267686187284767,10.7618277755684,1.05919309907063E-09
CD96,0.0366234365954992,10.2176061434153,0.166675498781957
PHLDB2,0.0205319092688855,11.0851805792076,0.131500691603244
CCDC80,-0.47923892854824,11.1086017740934,5.14485766469853E-67
ZBTB20,-0.216978173921251,11.380345684335,1.19603810641445E-14
KALRN,-0.234853516342627,11.1568285491665,8.91457563358019E-12
ACKR4,0.461416907563707,10.2474310358706,1.82795315076699E-32
TM4SF1,-0.0981342089751892,12.0479720362203,1.46474692479887E-05
WWTR1,-0.222446056555617,11.1578749793754,3.69174643518317E-10
TSC22D2,-0.107511164776552,10.7934024778017,0.347484461991685
MBNL1,-0.310934148235906,11.5049438666019,1.02279462827645E-30
KCNAB1,0.0956691859829785,10.2239731928778,0.000419608877943442
PTX3,-0.543098917014787,10.4784809110253,1.23918458716496E-31
SMC4,-0.613414974902835,10.4623525737315,7.21315242054463E-47
MECOM,0.133101637732757,10.2389366958713,0.000114620514687582
CLDN11,-0.0143078058607424,10.2909655750647,0.686890068150803
FNDC3B,-0.132925333498124,11.2567046925946,0.00235066061071475
NAALADL2,-0.183899709750852,10.3658763722542,5.70320303577104E-05
HES1,0.389999719781469,12.5096921864765,5.11658394015586E-48
APOD,-0.762955388142865,10.7769466392797,1.578368061896E-82
PIGX,-0.154351452670399,10.3230416055447,0.000736251247261329
RPL35A,0.0251705432675269,13.4027840622977,0.0733367305833744
STK32B,-0.480991817170339,10.5704980608528,5.99380811204739E-28
SORCS2,-0.378312268974548,10.2562290920383,5.00869588349394E-20
LDB2,-0.463625547344579,11.1762954636592,4.39968135969787E-51
SLIT2,0.104629532181728,10.233618002081,0.00611317829443331
RPL9,-0.0407593995064533,13.016677866097,5.85402469073685E-05
IGFBP7,0.0404871809293433,13.2623082453279,0.00855350273710058
ADAMTS3,0.149501746871865,10.2190906766661,3.51230714614688E-11
ANKRD17,-0.131857488750516,10.7545585376171,0.0438026420257936
CXCL8,0.304860719455804,10.2953665621508,1.6790749626507E-06
CXCL1,0.341230153091915,10.2902075842056,1.98891179287291E-07
CXCL3,-0.179104712313131,10.3809362791849,0.000549824353531925
CXCL2,0.284509028276333,11.2275498400876,3.40872086304486E-09
AREG,-0.0330987700203192,10.2174402665612,0.486858256142949
ARHGAP24,0.0525459643529207,10.2175211334581,0.0137019096350942
SPARCL1,0.415843591077062,10.2501142013293,1.06297433821304E-08
MMRN1,-0.369684309447709,12.434886763439,3.74243400911905E-83
CCSER1,0.115032843252085,10.3073256452821,0.0230864751653703
H2AZ1,-0.103328636640564,11.042992313264,0.0108437705013578
NFKB1,-0.075329340321117,10.7861395648365,1
GSTCD,-0.234031094760535,10.2743552927382,4.87355605196699E-07
LEF1,-0.0235378308124816,10.2136121488797,0.279372022327915
RPL34,0.0345463613629457,14.1346876029641,0.000389610215542836
COL25A1,0.0958984994369591,10.2245175372315,0.00320951038055463
SPRY1,-0.617136848906142,10.4395572717864,6.46680248448842E-41
TBC1D9,-0.191991294279085,10.4501616639825,0.0344381618755094
ARHGAP10,0.0130512542936675,10.3333263418284,0.615532582687085
RPS3A,0.0595183340016391,13.1434185324646,3.47219932062997E-07
GUCY1A1,-0.381912125834661,10.723442265205,4.29422862065931E-31
RAPGEF2,-0.230635436881216,10.6390722976107,3.76539843315437E-05
TLL1,-0.361389471415774,10.6334152913902,3.69361726527541E-16
GPM6A,-0.294222673098834,10.8252622477607,5.4746405024707E-14
STOX2,-0.43017898890871,10.9528330816585,3.39099662599746E-32
SORBS2,0.0104872126088918,10.2208821635348,1
TRIO,-0.260079750432398,10.8921319969602,1.30855677662227E-10
OTULINL,-0.0296028757025824,10.2338346331246,0.534187697857778
ANKH,0.0353450131804848,10.5591262234804,0.00879209545533453
FBXL7,-0.183480561452136,10.9505394182148,8.00975233190651E-05
RPL37,0.159552867727526,13.4949499592736,2.62089865262863E-58
FST,-0.246551825648446,10.2384778937664,1.0004359227533E-09
ARL15,-0.314094552846724,11.3269404377136,7.27917813570343E-17
PLPP1,-0.0499639844328416,11.5649156865151,0.00123743955140812
ANKRD55,0.0979461321354842,10.2376303416856,0.0317982962877198
PDE4D,-0.39616878742831,11.1225294993911,1.14252587565548E-24
ZSWIM6,-0.136897838653731,11.038412730474,0.00982393111393709
ADAMTS6,-0.113139967021661,10.4456772519454,0.231843580732943
ERBIN,-0.193590297477427,10.7807138684976,0.00022850394169721
ZNF366,0.00321020998208001,10.2129288003519,0.646589729327663
ARSB,-0.07795018766109,10.280875716704,0.353919778455493
HOMER1,0.0295017023949073,10.4046079083459,0.177829675714399
SSBP2,-0.467303812392425,10.8489863321485,4.90914870300661E-29
RPS23,0.0312794105375075,13.6204937753244,0.0240087845228674
EDIL3,0.00672687713274168,10.2138069902967,0.629577212621592
NR2F1,0.255957637905147,11.339298226778,8.05562528481199E-23
MCTP1,0.0187976318408112,10.4080601147467,0.0751014962841118
ELL2,-0.194961921765003,10.4327781818483,0.000755111282985866
EFNA5,-0.402143987712655,11.008500218402,2.12084138113301E-28
MARCHF3,0.0155756750981395,10.5458652814038,0.156235773613879
SLC12A2,-0.532667378343706,10.3246299469582,4.79307072098914E-29
CHSY3,0.224947892552211,10.5059324109302,2.8401933862435E-08
IRF1,0.122931241653655,11.2081153850494,7.58575138586885E-07
CXCL14,0.206072675490292,10.2256411847082,4.54044254387724E-07
EGR1,0.158588103924534,10.7622849097501,6.37843085574951E-09
ARHGAP26,-0.0379687334834849,11.0086569480182,0.561868619712485
CD74,0.362255679769126,10.3652939451932,6.01466000646381E-14
RPS14,0.172642101955837,13.1819350820911,6.39770742200258E-62
GPX3,0.194350903700444,10.2243712060686,1.66598287402473E-15
SLIT3,0.0336842390844334,10.2169138591108,0.108422743634338
LCP2,-0.00497376040875239,10.212355629941,0.869318458100684
DUSP1,0.387162570887954,11.4586887062208,5.09084024620592E-53
SQSTM1,-0.00848944429133357,11.5926111521972,0.0626808845684886
BTNL9,0.168222558349391,10.2172970833529,1.62844128374147E-16
SERPINB1,1.29033212089244,10.603358458363,8.68917404520947E-234
HIVEP1,0.0212773743077452,10.627318974426,0.0825616112084562
EDN1,-0.216419260636668,10.4648452858397,5.38583253978003E-05
JARID2,-0.626502206144476,10.5286791345002,2.86683979406258E-44
SOX4,-0.253039085878556,11.3830829038443,1.03521022309672E-10
H4C3,0.131009714343497,10.7488327189191,1.03847903747621E-06
IER3,0.0479344627531786,11.0215788438968,0.101963141424806
HLA-B,-0.224668556320599,12.1815782047842,3.46149856821609E-51
LTB,-0.185661615655784,10.2269627259991,5.47021080710341E-14
AIF1,-0.000541461866059556,10.2114957395133,1
HSPA1A,0.07353506478517,11.5039552393198,0.00441000984784372
HSPA1B,-0.0595728141547575,10.8855367664212,0.584420962644543
HLA-DRA,0.204305268292171,10.2395873187496,2.437260944136E-07
HLA-DRB5,0.458439693204376,10.2466329159034,4.88263047011219E-40
HLA-DRB1,0.556036877217222,10.259145637605,8.77509669574988E-47
HLA-DQA1,-0.00334525867522283,10.2122009619769,0.982745838251416
HLA-DQB1,0.296338274659652,10.2266600226481,5.80945716679891E-32
HLA-DPA1,0.616441462993675,10.2603776115534,1.04585402701934E-62
HLA-DPB1,0.212073650890385,10.2859152364502,6.83726860734771E-08
RPS18,0.100871172363337,13.7109273969203,3.3817741083898E-23
CDKN1A,0.189331861408479,11.0747703832717,1.05878300357984E-15
ZFAND3,-0.0289637879658754,10.9842831925562,0.260688499092915
HSP90AB1,-0.0750203810062473,12.0099709449816,0.173119279012853
PTCHD4,0.070375331579524,10.2993203583013,0.0659838415556443
DST,-0.375054046746813,11.0224254455166,1.28843576322852E-34
EEF1A1,0.133189587918048,14.1052515749484,5.37032091230898E-48
CGA,0.00499047957743827,10.2122184159554,0.231484311144612
CD24,-0.21577587938714,10.389760008518,0.0881690180993322
FOXO3,-0.0629447872794742,10.6118585316834,0.308898529376194
REV3L,-0.481161332661953,10.8801104404215,3.10987785537937E-42
MAN1A1,-0.347173027118398,10.9859155078246,6.79026654140712E-25
PTPRK,-0.49758857137437,10.8038570617581,3.39248240346528E-46
LAMA2,0.224458223052897,10.2231176992186,5.51455809503702E-12
CCN2,0.0403034448104737,10.6016976469472,0.479442161832221
RPS12,0.295151406134695,13.9650866005069,1.62079634667847E-205
SGK1,0.245128756818461,10.5339193132418,3.0259217106933E-10
PDE7B,-0.32682060337473,10.5856168982595,3.19372307503863E-14
TNFAIP3,0.155307491808701,10.574693868831,6.67492565815367E-06
NHSL1,-0.0382332861209585,10.8992057719508,0.895515150930037
CITED2,-0.0513738488051757,10.3869952757997,0.290004035416773
HIVEP2,0.187236062065107,10.9593871355041,2.45033613143761E-11
UTRN,-0.505427376487979,11.3796933661655,4.25780609006115E-84
SAMD5,-0.131379450188601,10.2210612866303,8.37605326332267E-11
UST,0.0284604108632361,10.2152073649488,0.0878623749170924
PLEKHG1,0.0237948394600619,10.7953396011946,0.137898683248703
AKAP12,0.186280053141196,11.9813035369171,3.13212603543645E-14
SYNE1,-0.517611571354863,11.1301991220141,5.36126137129572E-63
CNKSR3,-0.436842205836895,11.3327083543102,6.1183087430969E-41
TIAM2,0.0421007089025242,10.332424808514,0.0891391766787342
SYNJ2,-0.00258018821451633,10.296257906067,0.370371951172639
SOD2,-0.0142432885587467,10.7835656922814,0.638692759816467
QKI,-0.361726376004908,11.2803259474474,3.31409507113748E-33
ACTB,0.183610343759891,12.3446977984268,8.77784679941793E-36
AIMP2,0.0615236056925129,10.2561923365338,0.150799109060006
ARL4A,-0.172778804391931,11.4248758098016,8.21255880195992E-19
MEOX2,-0.813416132830729,10.387082333694,8.08660059850018E-62
TWIST1,-0.000333502439950158,10.2127126661273,0.874316286440251
STEAP1B,-0.0184046497900227,10.337667560006,0.505083571442979
IL6,0.303992170879878,10.2911654902859,7.29575707537825E-09
FAM126A,-0.466433954313055,10.8127698270458,3.50333855937833E-36
CREB5,-0.316494813968546,10.8383852441807,1.204315848547E-16
AQP1,-0.0170739178624006,10.218893303822,0.84483471896413
ELMO1,-0.327038091006068,10.9267577609199,2.58742353476108E-22
EGFR,0.0712492029943428,10.2143351391306,3.31203287598183E-09
AUTS2,-0.158028813258472,10.9776189704561,0.00313146614141974
CLIP2,-0.308379864690916,10.4010044333997,1.35581156845863E-07
HSPB1,-0.0339627342543854,12.0609689936686,0.40759675300075
FGL2,-0.382791856127264,10.8972044448605,8.55989985734378E-36
MAGI2,-0.0951048567793578,10.3904991340533,0.0839152258234337
CD36,-0.223673179529661,10.9500677772807,3.6232298717116E-09
HGF,-0.150553914910083,10.3105404350241,0.0287949675301383
SEMA3A,-0.186393963376968,10.7536398850854,2.50461766653831E-05
SEMA3D,-0.27140724831623,10.6879158841185,9.57451843883852E-15
STEAP4,0.102134211390549,10.2163611539287,4.18893015329103E-08
CDK6,-0.305053644172213,10.4801282025105,5.6668352584447E-10
GNG11,-0.260595721470649,12.8637278501312,7.27823203939393E-77
COL1A2,-0.0243040160902419,10.2217479130303,0.479541499987638
PEG10,-0.555625349004091,10.3305130088881,2.90095097225164E-28
PDK4,0.69446774256023,10.708705488325,9.05827644621365E-59
AP4M1,-0.0981434661039475,10.2411881517414,0.00813264364857184
SERPINE1,0.211294648830498,10.5326512584155,9.98934167751825E-07
RELN,-0.306990822401495,10.8670228152254,1.02308677921688E-13
KMT2E,-0.354291022441841,11.3006041837917,1.37140589126387E-31
NAMPT,-0.360016475847658,11.0117247428626,4.16946391296832E-30
FOXP2,-0.0733974757783577,10.5174558208864,0.682892723345084
CAV1,-0.0645555007194545,12.0918640456689,0.000218171942806228
BRAF,-0.0436361554137525,10.6987753918454,0.404331844271118
GIMAP7,-0.0907473130742656,10.8203009149221,5.35120805419081E-05
ANGPT2,-0.585108040515343,10.9301172136638,6.51863409636317E-34
MSR1,-0.658532436156521,10.2601506331278,2.51421855818402E-50
STC1,-1.03912195857994,11.2826577016051,1.34921525767036E-110
DOCK5,-0.563695226803591,10.8007288981412,2.70849122842594E-58
CLU,0.319280670888238,12.2867763010992,5.11330242464213E-31
NRG1,-0.0696384281443906,10.2223496282341,0.032358117291703
PLAT,0.595495070697492,10.2934099908393,3.52419886625859E-32
CEBPD,0.502435102970194,12.0796283861767,1.89252508754077E-117
SOX17,0.00635671695091905,10.213747073428,0.463807219123746
RPS20,-0.165261196950964,11.8829031319068,1.8892704848619E-17
PENK,0.0310074694060289,10.2137728407429,0.00350465114297781
CA8,0.0590554250276395,10.2390048573782,0.1770457578322
CYP7B1,-0.305907940000476,10.2664164568354,9.20328427852094E-10
C8orf44-SGK3,-0.0705342140198305,10.2613221077451,0.132346263531684
FABP5,-0.0688456289399977,11.923180778686,0.137255978309401
FABP4,0.0458367279888491,12.4714001835515,0.173463280781013
GEM,-0.0455934853930448,10.2317132477077,0.19667591608979
